title,date,year,description,subject,id,refID
"January 1st, 1900",1900-01-01,1900," Chrisman, Edward R. (pg 89, c1) | Clement, Dr. Willard K. (pg 89, c1) | French, Burton L. (pg 83, c2) | Heyburn Award (pg 84, c1) | Heyburn Award (pg 91, c1) | Kaufman award (pg 84, c1) | Miller, A.S. (pg 73, c1) | Philharmonic club (pg 82, c2) | U of I President 1898-1900 (pg 88, c2) | U of I President 1898-1900 (pg 90, c1) | Watkins Gold Medal for Oratory (pg 84, c1) | Y.W.C.A. (pg 94, c2)","Chrisman, Edward R.; Clement, Dr. Willard K.; French, Burton L.; Heyburn Award; Heyburn Award; Kaufman award; Miller, A.S.; Philharmonic club; Blanton, Joseph Philip; Watkins Gold Medal for Oratory; Y.W.C.A.",ARG-1900-01-01,1297
"February 1st, 1900",1900-02-01,1900," Athletic association, U of I (pg 102, c2) | Faculty (pg 111, c1) | Philharmonic club (pg 108, c1) | Statue in administration lawn (pg 111, c1) | Statue on Administration lawn (pg 111, c1) | Websterians (pg 109, c1) | Y.W.C.A. (pg 118, c2)","Athletic association; Padelford, F.M.; Philharmonic club; Hagberg, Ole Gabriel (1873-1898); Spanish American War (Hagberg and Draper monument); Websterians; Y.W.C.A.",ARG-1900-02-01,1298
"April 1st, 1900",1900-04-01,1900," Amphictyon Society (pg 135, c1) | Athletic association, U of I (pg 130, c2) | Hodgins prizes (pg 139, c1) | Officers (pg 138, c1) | Philharmonic club (pg 135, c2) | U of I President 1898-1900 (pg 136, c2) | U of I President 1898-1900 (pg 139, c2) | University of Idaho - History (pg 132, c1) | Websterians officers (pg 137, c1)","Amphictyon Society; Athletic association; Hodgins prizes; Philharmonic club; Blanton, Joseph Philip; University of Idaho - History; Websterians officers",ARG-1900-04-01,1299
"May 1st, 1900",1900-05-01,1900," Alumni Association (pg 167, c2) | Chrisman, Edward R. (pg 164, c2) | Clement, Dr. Willard K. (pg 162, c1) | Commencement exercises (pg 165, c2) | Field day (pg 157, c2) | Kappa Phi Alpha Fraternity (pg 156, c2) | Oratorical Association (pg 163, c2) | Statue in administration lawn (pg 161, c1) | Statue on Administration lawn (pg 161, c1) | Watkins Gold Medal for Oratory (pg 163, c2) | Wilson, Clinton (pg 164, c1)","Alumni Association; Chrisman, Edward R.; Clement, Dr. Willard K.; Commencement exercises; Field day; Kappa Phi Alpha Fraternity; Oratorical Association; Hagberg, Ole Gabriel (1873-1898); Spanish American War (Hagberg and Draper monument); Watkins Gold Medal for Oratory; Wilson, Clinton",ARG-1900-05-01,1300
"June 1st, 1900",1900-06-01,1900," Alumni Association (pg 195, c0) | Baseball (pg 185, c0) | City of Moscow - streets (pg 185, c0) | Class of 1900 (pg 180, c1) | Photo (pg 193, c0) | U of I President 1898-1900. Photo (pg 168, c0) | University of Idaho - History (pg 171, c2) | Y.M.C.A. (pg 188, c1) | Y.W.C.A. (pg 188, c1)","Alumni Association; Baseball; City of Moscow - streets; Class of 1900; University of Idaho - History; Blanton, Joseph Philip; University of Idaho - History; Y.M.C.A.; Y.W.C.A.",ARG-1900-06-01,1301
"November 15th, 1901",1901-11-15,1901,,,ARG-1901-11-15,11211
"March 28th, 1902",1902-03-28,1902," Photo (pg 8, c0)","Miller, A.S.",ARG-1902-03-28,1302
"April 30th, 1902",1902-04-30,1902,,,ARG-1902-04-30,11210
"October 21st, 1902",1902-10-21,1902,,,ARG-1902-10-21,11208
"January 15th, 1903",1903-01-15,1903,,,ARG-1903-01-15,11213
"February 28th, 1903",1903-02-28,1903,,,ARG-1903-02-28,11216
"March 28th, 1903",1903-03-28,1903,,,ARG-1903-03-28,11218
"February 1st, 1904",1904-02-01,1904,,,ARG-1904-02-01,11221
"June 6th, 1904",1904-06-06,1904,,,ARG-1904-06-06,11224
"June 8th, 1905",1905-06-08,1905,,,ARG-1905-06-08,11226
"October 2nd, 1905",1905-10-02,1905,,,ARG-1905-10-02,11229
"October 9th, 1905",1905-10-09,1905," ASUI (pg 1, c5) | Athletic Board (pg 1, c2) | Class of 1905 (pg 1, c2) | Class of 1906 (pg 2, c2) | Hazing (pg 2, c1) | Married men's club (pg 2, c2) | Registration - geographic distribution (pg 4, c1) | University of Idaho (pg 2, c1)",ASUI; Athletic Board; Class of 1905; Class of 1906; Hazing; Married men's club; Registration - geographic distribution; School song,ARG-1905-10-09,1303
"October 16th, 1905",1905-10-16,1905," Elective system (pg 2, c2) | Football game (pg 1, c5) | Football team (pg 1, c5) | Football team (pg 2, c1) | Humphrey, J.E. (pg 1, c3) | McCallie, Margaret (pg 1, c1)","Elective system; Football game; Football team; Humphrey, J.E.; McCallie, Margaret",ARG-1905-10-16,1304
"October 23rd, 1905",1905-10-23,1905," Debate (pg 1, c3) | Electrical Engineering society (pg 1, c2) | Football game (pg 1, c5) | German club (pg 4, c2) | Professor of Music (pg 1, c1) | Ridenbaugh Award (pg 1, c3)","Debate; Electrical Engineering society; Football game; German club; Cogswell, I.J.; Ridenbaugh Award",ARG-1905-10-23,1305
"October 30th, 1905",1905-10-30,1905," Athletic Ball (pg 2, c2) | Athletic Ball (pg 4, c1) | Athletic Board (pg 2, c1) | Faculty. Head of the Mine department, U of I (pg 2, c1) | Football game (pg 1, c2) | Ridenbaugh Award (pg 3, c2)","Athletic Ball; Athletic Board; Janes, B.E.; Football game; Ridenbaugh Award",ARG-1905-10-30,1306
"November 6th, 1905",1905-11-06,1905," Amphictyon Society (pg 3, c2) | Athletic Ball (pg 4, c1) | Debate (pg 4, c2) | Electrical Engineering society (pg 4, c3) | English club - University of Idaho (pg 3, c2) | Football game (pg 1, c5) | Ridenbaugh Award (pg 1, c3) | University of Idaho - History (pg 2, c1)",Amphictyon Society; Athletic Ball; Debate; Electrical Engineering society; English club - University of Idaho; Football game; Ridenbaugh Award; University of Idaho - History,ARG-1905-11-06,1307
"November 13th, 1905",1905-11-13,1905," ASSAY building and Mining laboratory (pg 6, c2) | Chrisman, Edward R. (pg 2, c2) | Debate (pg 6, c1) | English club - University of Idaho (pg 6, c3) | Football game (pg 1, c1) | Football game (pg 4, c1) | Football rallies (pg 4, c3) | Websterians (pg 4, c1)","ASSAY building and Mining laboratory; Chrisman, Edward R.; Debate; English club - University of Idaho; Football game; Football rallies; Websterians",ARG-1905-11-13,1308
"November 20th, 1905",1905-11-20,1905," ASSAY building and Mining laboratory (pg 4, c2) | Chrisman, Edward R. (pg 4, c3) | Class of 1907 (pg 1, c1) | Class of 1908 (pg 1, c1) | Debate (pg 1, c2) | Debate (pg 2, c1) | Electrical Engineering society (pg 1, c1) | Football game (pg 1, c2) | Football game (pg 1, c5) | Football game (pg 2, c1) | Gem of the Mountains (pg 3, c2) | Junior promenade (pg 3, c2) | Preparatory team vs. Blair Business College (pg 1, c1) | Rallies (pg 2, c2) | The Idaho Argonaut (pg 2, c1) | Websterians (pg 1, c4)","ASSAY building and Mining laboratory; Chrisman, Edward R.; Class of 1907; Class of 1908; Debate; Electrical Engineering society; Football game; Gem of the Mountains; Junior promenade; Football; Rallies; The Idaho Argonaut; Websterians",ARG-1905-11-20,1309
"November 27th, 1905",1905-11-27,1905," Basketball (pg 1, c5) | Class of 1907 (pg 4, c2) | Department of Music (pg 2, c1) | Electrical Engineering society (pg 3, c3) | Faculty (pg 2, c1) | Football game (pg 4, c1) | School of Mines (pg 2, c1)","Basketball; Class of 1907; Department of Music; Electrical Engineering society; Van Pyk, Thor; Football game; School of Mines",ARG-1905-11-27,1310
"December 4th, 1905",1905-12-04,1905," Athletic field project (pg 1, c5) | Athletic field project (pg 2, c1) | Class of 1907 (pg 1, c4) | Debate (pg 3, c2) | Faculty (pg 1, c2) | Football game (pg 1, c1) | Junior promenade (pg 4, c1) | Vesper Service (pg 3, c3)","Athletic field project; Class of 1907; Debate; Van Pyk, Thor; Football game; Junior promenade; Vesper Service",ARG-1905-12-04,1311
"December 11th, 1905",1905-12-11,1905," Class of 1907 (pg 1, c1) | Class of 1908 (pg 1, c1) | Debate (pg 2, c1) | Faculty (pg 1, c5) | Faculty, Dean of faculty, University of Idaho (pg 4, c2) | Football game (pg 2, c1) | Hazing (pg 1, c1) | Hazing (pg 3, c2) | Hulme, Edward M (pg 1, c1) | Jellick Affair (pg 1, c1) | Junior promenade (pg 1, c3)","Class of 1907; Class of 1908; Debate; Van Pyk, Thor; Eldridge, J.G.; Football game; Hazing; Hulme, Edward M; Jellick Affair; Junior promenade",ARG-1905-12-11,1320
"December 18th, 1905",1905-12-18,1905," ASSAY building and Mining laboratory (pg 23, c1) | Basketball (pg 23, c1) | Bible Study Institute, U of I (pg 25, c1) | Class of 1906 (pg 19, c0) | Class of 1907 (pg 19, c0) | Debate (pg 21, c2) | Debate (pg 22, c1) | Debate (pg 24, c1) | Disciplinary committee (pg 24, c1) | Electrical Engineering society (pg 16, c1) | English club - University of Idaho (pg 26, c1) | Jellick Affair (pg 24, c1) | Kaufman award (pg 21, c1) | Kaufman award (pg 25, c1) | Metallurgical laboratory (pg 27, c2) | Photo (pg 18, c0) | Short story contest (pg 25, c1) | Y.M.C.A. (pg 26, c1) | Y.W.C.A. (pg 26, c1)","ASSAY building and Mining laboratory; Basketball; Bible Study Institute; Lauder, Margaret E.; Price, Victor E.; Robertson, W.E.; Debate; Disciplinary committee; Electrical Engineering society; English club - University of Idaho; Jellick Affair; Kaufman award; Kaufman award; Metallurgical laboratory; Football team; Short story contest; Y.M.C.A.; Y.W.C.A.",ARG-1905-12-18,1329
"January 8th, 1906",1906-01-08,1906," Basketball (pg 2, c1) | Basketball (pg 4, c2) | Bible Study Institute, U of I (pg 4, c3) | Debate (pg 1, c3) | Debate (pg 2, c1) | Preparatory school (pg 2, c2) | Staff (pg 1, c5) | Sweeny Intersociety Debate trophy (pg 1, c3)",Basketball; Bible Study Institute; Debate; Preparatory school; Gem of the Mountains; Sweeny Intersociety Debate trophy,ARG-1906-01-08,1330
"January 15th, 1906",1906-01-15,1906," Athletic show (pg 2, c2) | Baseball (pg 4, c2) | Basketball (pg 1, c4) | Bible Study Institute, U of I (pg 1, c1) | Debate (pg 4, c1) | Gem of the Mountains (pg 4, c2) | Track and Field (pg 4, c3)",Athletic show; Baseball; Basketball; Bible Study Institute; Debate; Gem of the Mountains; Track and Field,ARG-1906-01-15,1312
"January 22nd, 1906",1906-01-22,1906," Assembly programs, U of I (pg 4, c2) | Basketball (pg 1, c1) | Basketball (pg 2, c2) | Cheating (pg 1, c5) | Cheating (pg 2, c1) | Class of 1906 (pg 1, c4) | Electrical Engineering society (pg 1, c4) | Faculty. Head of the Mine department, U of I (pg 2, c2) | Heyburn Award (pg 1, c5) | Kiwa club - University of Idaho (pg 2, c2) | The Idaho Argonaut (pg 2, c2) | U of I (pg 1, c2) | Watkins Gold Medal for Oratory (pg 4, c2) | Websterians (pg 4, c1)","Assembly programs; Basketball; Cheating; Class of 1906; Electrical Engineering society; Janes, B.E.; Heyburn Award; Kiwa club - University of Idaho; The Idaho Argonaut; Amphictyon Society; Watkins Gold Medal for Oratory; Websterians",ARG-1906-01-22,1313
"February 5th, 1906",1906-02-05,1906," Athletic show (pg 1, c4) | Basketball (pg 1, c3) | Cheating (pg 2, c1) | Class of 1909 (pg 4, c2) | Debate (pg 1, c1) | Department of Music (pg 1, c2) | Hulme, Edward M (pg 1, c5)","Athletic show; Basketball; Cheating; Class of 1909; Debate; Department of Music; Hulme, Edward M",ARG-1906-02-05,1314
"February 12th, 1906",1906-02-12,1906," Assembly programs, U of I (pg 1, c1) | Assembly programs, U of I (pg 2, c1) | Baseball (pg 1, c5) | Basketball (pg 4, c3) | Debate (pg 4, c1) | Preparatory school (pg 1, c2) | Track and Field (pg 1, c5) | Vollmer award (pg 2, c1) | Websterians (pg 3, c2)",Assembly programs; Assembly programs; Baseball; Basketball; Debate; Preparatory school; Track and Field; Vollmer award; Websterians,ARG-1906-02-12,1315
"February 19th, 1906",1906-02-19,1906," ASSAY building and Mining laboratory (pg 4, c1) | Baseball (pg 1, c4) | Basketball (pg 1, c5) | Class of 1905 (pg 2, c2) | Debate (pg 1, c4) | Websterians (pg 4, c2) | Y.W.C.A. (pg 2, c1)",ASSAY building and Mining laboratory; Baseball; Basketball; Class of 1905; Debate; Websterians; Y.W.C.A.,ARG-1906-02-19,1316
"February 26th, 1906",1906-02-26,1906," Class of 1906 (pg 1, c2) | Class of 1906 (pg 3, c1) | Debate (pg 1, c1) | Debate (pg 1, c4) | English club - University of Idaho (pg 1, c4) | Faculty. Head of the Mine department, U of I (pg 1, c2) | Faculty. University of Idaho (pg 1, c5) | Gem of the Mountains (pg 1, c2) | School of Mines (pg 1, c2) | The Idaho Argonaut (pg 1, c2) | University of Idaho (pg 1, c1) | University of Idaho (pg 1, c3) | Websterians (pg 1, c4) | Websterians (pg 2, c2) | Y.M.C.A. (pg 1, c2) | Y.W.C.A. (pg 1, c3)","Class of 1906; Debate; English club - University of Idaho; Janes, B.E.; Morley, William Sands; Gem of the Mountains; School of Mines; The Idaho Argonaut; Military Ball; Theta Mu Epsilon; Websterians; Websterians; Y.M.C.A.; Y.W.C.A.",ARG-1906-02-26,1317
"March 5th, 1906",1906-03-05,1906," Alpha Delta Pi Sorority (pg 1, c3) | Bookstore, Student (pg 1, c1) | Cannon - University of Idaho (pg 4, c1) | Debate (pg 1, c4) | Debate (pg 1, c5) | Debate (pg 2, c2) | Debate (pg 4, c2) | Electrical Department - U of I (pg 1, c5) | English club - University of Idaho (pg 1, c1) | U of I (pg 1, c4) | U of I (pg 3, c2) | Websterians (pg 2, c2) | Y.W.C.A. (pg 3, c2)","Alpha Delta Pi Sorority; Bookstore, Student; Cannon - University of Idaho; Debate; Debate; Electrical Department -; English club - University of Idaho; Amphictyon Society; Beta Sigma Sorority; Websterians; Y.W.C.A.",ARG-1906-03-05,1318
"March 12th, 1906",1906-03-12,1906," Assembly programs, U of I (pg 1, c1) | Basketball (pg 1, c3) | Preparatory school (pg 3, c2) | Preparatory school (pg 4, c2) | Staff (pg 2, c2) | Track - University of Idaho (pg 2, c1) | Track - University of Idaho (pg 2, c2) | Van Der Veer C.W. (pg 4, c1) | Y.M.C.A. (pg 4, c1)",Assembly programs; Basketball; Preparatory school; Gem of the Mountains; Track; Track; Van Der Veer C.W.; Y.M.C.A.,ARG-1906-03-12,1319
"March 19th, 1906",1906-03-19,1906," Assembly programs, U of I (pg 2, c1) | Basketball (pg 1, c5) | Debate (pg 1, c3) | The Idaho Argonaut (pg 1, c1) | Track - University of Idaho (pg 3, c2) | U of I (pg 1, c4) | University of Idaho (pg 3, c2) | University of Idaho Board of Regents (pg 1, c2) | Y.W.C.A. (pg 1, c2)",Assembly programs; Basketball; Debate; The Idaho Argonaut; Track; Amphictyon Society; Deutsche Geselschaft; University of Idaho Board of Regents; Y.W.C.A.,ARG-1906-03-19,1321
"March 26th, 1906",1906-03-26,1906," Assembly programs, U of I (pg 1, c3) | Baseball (pg 3, c2) | Baseball (pg 4, c1) | Cadets, Battalion of (pg 4, c2) | Debate (pg 1, c1) | Debate (pg 1, c4) | Electric Railway - City of Moscow (pg 4, c1) | English club - University of Idaho (pg 1, c5) | MacLean, James Alexander (pg 1, c5) | School of Mines (pg 3, c2) | Track and Field (pg 3, c2) | Y.M.C.A. (pg 4, c2)","Assembly programs; Baseball; Cadets, Battalion of; Debate; Electric Railway - City of Moscow; English club - University of Idaho; MacLean, James Alexander; School of Mines; Track and Field; Y.M.C.A.",ARG-1906-03-26,1322
"April 2nd, 1906",1906-04-02,1906,,,ARG-1906-04-02,11230
"April 9th, 1906",1906-04-09,1906," Class of 1906 (pg 1, c5) | Domestic Science department, University of Idaho (pg 4, c1) | English club - University of Idaho (pg 2, c2) | English club - University of Idaho (pg 3, c2) | Fire, University of Idaho (pg 1, c1) | Preparatory school (pg 4, c1) | The Idaho Argonaut (pg 2, c1) | University of Idaho Board of Regents (pg 1, c4) | Watkins Gold Medal for Oratory (pg 1, c3)","Class of 1906; Domestic Science department, University of Idaho; English club - University of Idaho; English club - University of Idaho; Fire, University of Idaho; Preparatory school; The Idaho Argonaut; University of Idaho Board of Regents; Watkins Gold Medal for Oratory",ARG-1906-04-09,1323
"April 23rd, 1906",1906-04-23,1906," Assembly programs, U of I (pg 1, c5) | Baseball (pg 1, c3) | Baseball (pg 4, c1) | Cadets, Battalion of (pg 4, c2) | Debate (pg 4, c1) | Electric Railway - City of Moscow (pg 1, c2) | Miner's drilling contest - U of I (pg 3, c2) | Preparatory school (pg 2, c2) | Track - University of Idaho (pg 1, c1) | Y.M.C.A. (pg 1, c5)","Assembly programs; Baseball; Cadets, Battalion of; Debate; Electric Railway - City of Moscow; Miner's drilling contest -; Preparatory school; Track; Y.M.C.A.",ARG-1906-04-23,1324
"April 30th, 1906",1906-04-30,1906," Assembly programs, U of I (pg 1, c2) | Baseball (pg 1, c3) | Cadets, Battalion of (pg 1, c1) | Debate (pg 2, c1) | Domestic Science department, University of Idaho (pg 1, c5) | The Idaho Argonaut (pg 4, c1) | Track - University of Idaho (pg 1, c1) | Y.M.C.A. (pg 2, c1) | Y.M.C.A. (pg 4, c2)","Assembly programs; Baseball; Cadets, Battalion of; Debate; Domestic Science department, University of Idaho; The Idaho Argonaut; Track; Y.M.C.A.",ARG-1906-04-30,1325
"May 7th, 1906",1906-05-07,1906," ASUI-Financial report (pg 3, c1) | Class of 1906 (pg 2, c1)",ASUI-Financial report; Class of 1906,ARG-1906-05-07,1326
"May 14th, 1906",1906-05-14,1906," Class of 1908 (pg 1, c3) | Commencement week - schedule (pg 1, c5) | Decoration day (pg 2, c3) | Faculty. Department of Electric Engineering. University of Idaho (pg 1, c1) | Oregon, Washington and Idaho (pg 4, c1) | University of Idaho vs. Washington State College (pg 1, c1) | Varsity team vs. Lewiston Normal (pg 1, c5)","Class of 1908; Commencement week - schedule; Decoration day; Sheldon, Sidney Roby; Oratorical contest; Track; Baseball",ARG-1906-05-14,1327
"May 21st, 1906",1906-05-21,1906," Class of 1904. Obituary (pg 4, c3) | Debate (pg 2, c2) | Faculty. Department of Military Science. University of Idaho (pg 2, c2) | University of Idaho vs. University of Washington (pg 2, c1) | University of Idaho vs. Washington State College (pg 1, c1)","Forney, Cora May; Debate; Steunenber, George; Baseball; Track",ARG-1906-05-21,1328
"May 28th, 1906",1906-05-28,1906," ASUI-Elections (pg 1, c3) | Commencement calendar (pg 4, c3) | Debate - U of I vs. University of Utah (pg 4, c1) | Oregon, Washington and Idaho (pg 1, c4) | Oregon, Washington, Idaho (pg 1, c5) | Y.M.C.A. (pg 2, c3)",ASUI-Elections; Commencement calendar; Debate -  vs. University of Utah; Oratorical contest; Track; Y.M.C.A.,ARG-1906-05-28,1334
"June 4th, 1906",1906-06-04,1906," ASUI-Financial report (pg 4, c2) | Board of regents (pg 2, c3) | Commencement exercises (pg 1, c1) | Debate council - Financial report (pg 4, c1) | Department of Music (pg 2, c2) | Financial report (pg 4, c1) | Oregon, Washington and Idaho (pg 1, c5) | Oregon, Washington, Idaho (pg 1, c3) | Preparatory school commencement (pg 4, c1) | University of Idaho Board of Regents (pg 2, c3)","ASUI-Financial report; Hays, Mrs. Sam E.; Commencement exercises; Debate council - Financial report; Department of Music; Baseball; Interstate Oratorical contest; Oratorical contest; Track; Preparatory school commencement; University of Idaho Board of Regents",ARG-1906-06-04,1345
"September 14th, 1906",1906-09-14,1906,,,ARG-1906-09-14,11231
"September 17th, 1906",1906-09-17,1906," ASUI-Officers (pg 3, c2) | Bible study (pg 1, c4) | Board of regents, 1901-07. Photo (pg 2, c1) | Domestic Science department, University of Idaho (pg 3, c5) | Faculty, Head of Horticulture, U of I (pg 3, c4) | Football (pg 1, c1) | Photo (pg 2, c1) | Photo (pg 3, c1) | Photo (pg 3, c2) | Photo (pg 3, c5) | Principal of Preparatory school. Photo (pg 4, c2) | Registration - Procedure (pg 1, c3) | Websterians (pg 1, c3)","ASUI-Officers; Y.M.C.A.; Ridenbaugh, Mrs. W.H.; Domestic Science department, University of Idaho; Judson, L.B.; Football; Roach, I.F.; McCallie, Margaret; Myers, W.M.; Baden, W.W.; Reed, Miles E.; Registration - Procedure; Websterians",ARG-1906-09-17,1350
"October 1st, 1906",1906-10-01,1906," Class of 1906 (pg 1, c5) | Class of 1909 (pg 4, c1) | Class of 1910 (pg 4, c1) | Debate (pg 1, c3) | Department of Music (pg 1, c2) | Idaho High Schools (pg 1, c5) | Morril Hall (pg 1, c2) | Preparatory school officers (pg 1, c4) | Professor of Biology. Photo (pg 3, c2) | U of I (pg 3, c3) | Websterians (pg 3, c4)","Foster, Carol H.; Class of 1909; Class of 1910; Debate; Department of Music; Debate League; Morril Hall; Preparatory school officers; Aldrich, John Merton; Amphictyon Society; Websterians",ARG-1906-10-01,1331
