objectid,cdmid,title,date,year,description,subject,publisher,genre,type,format_original,format,language,source,rights,rightsstatement
arg-2021-04-08,11868,"The Argonaut - April 8, 2021",2021-04-08,2021,,,University of Idaho Student Media,newspapers,Text,PDF,application/pdf,eng,"Argonaut, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
arg-2020-11-12,11869,"The Argonaut - November 12, 2020",2020-11-12,2020,,,University of Idaho Student Media,newspapers,Text,PDF,application/pdf,eng,"Argonaut, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
arg-2021-04-01,11870,"The Argonaut - April 1, 2021",2021-04-01,2021,,,University of Idaho Student Media,newspapers,Text,PDF,application/pdf,eng,"Argonaut, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
arg-2020-07-30,11871,"The Argonaut - July 30, 2020",2020-07-30,2020,,,University of Idaho Student Media,newspapers,Text,PDF,application/pdf,eng,"Argonaut, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
arg-2020-11-19,11872,"The Argonaut - November 19, 2020",2020-11-19,2020,,,University of Idaho Student Media,newspapers,Text,PDF,application/pdf,eng,"Argonaut, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
arg-2021-02-11,11873,"The Argonaut - February 11, 2021",2021-02-11,2021,,,University of Idaho Student Media,newspapers,Text,PDF,application/pdf,eng,"Argonaut, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
arg-2021-02-04,11874,"The Argonaut - February 4, 2021",2021-02-04,2021,,,University of Idaho Student Media,newspapers,Text,PDF,application/pdf,eng,"Argonaut, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
arg-2020-08-20,11875,"The Argonaut - August 20, 2020",2020-08-20,2020,,,University of Idaho Student Media,newspapers,Text,PDF,application/pdf,eng,"Argonaut, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
arg-2021-03-04,11876,"The Argonaut - March 4, 2021",2021-03-04,2021,,,University of Idaho Student Media,newspapers,Text,PDF,application/pdf,eng,"Argonaut, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
arg-2020-09-24,11877,"The Argonaut - September 24, 2020",2020-09-24,2020,,,University of Idaho Student Media,newspapers,Text,PDF,application/pdf,eng,"Argonaut, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
arg-2020-09-03,11878,"The Argonaut - September 3, 2020",2020-09-03,2020,,,University of Idaho Student Media,newspapers,Text,PDF,application/pdf,eng,"Argonaut, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
arg-2021-05-06,11879,"The Argonaut - May 6, 2021",2021-05-06,2021,,,University of Idaho Student Media,newspapers,Text,PDF,application/pdf,eng,"Argonaut, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
arg-2020-10-01,11880,"The Argonaut - October 1, 2020",2020-10-01,2020,,,University of Idaho Student Media,newspapers,Text,PDF,application/pdf,eng,"Argonaut, Student Media, University of Idaho, https://www.uidaho.edu/current-students/student-involvement/student-media","In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
