title,date,headlines,file
"January 7, 1969",1969-01-07,"Page 1 (front page): Samuelson releases budget for Idaho universities; U Singers, Concert Band present Sunday program; Calendar; Sub-zero temperatures damage living groups over Christmas vacation (photos); Negro history course recently considered; Idaho legislature to visit campus; Page 2: Samuelson does it again (opinion); White Supremacy? Black Power? Buffalo Chips! (opinion); Art Show (photo only); Historians present views (opinion); YAF denies hanging poster (opinion); Stop pollution (opinion); From Under the Rock by Houghton Whithed (opinion); Lower voting age favored in Idaho; Vandal at Idaho hits ‘low below’; Page 3: WICHE selects Idaho to join in study program; Produce donors may lower taxes; new brochures available to farmers; IFC makes rush plans for second semester; Topic chosen for panels; Macklin asks relief of duties; Pocatello woman is nominated; Zoologists raise sea animals in distant lab (photo); Counseling demand increases greatly; Tyler recital given tonight; Idaho chem. professor likes jazz formula best; Page 4: Promotion (photo only); “Akropolis” to be aired in KUID January 12; Snake River Pottery on display (photos); U of I graduate gets appointment; Page 5 (Sports): Vandals drop five during vacation; Stats after 10 games; Alpha Gamma Delta wins gymnastics meet; Valkyries; YAF meets; “A” Basketball [scores]; Bowling Standings; Handball [scores]; Bowling [scores]; Idaho sports banquet to be held January 30; Banff ski trip payments due; Wrestlers take fifth in Boise; Page 5: Chemistry department acquires TV equipment (photo); RHA to tackle price problems; Library hours; Vehicle owners gain one month; Grants received totaling $1,200; RHA takes apathy poll; IFC sponsors orientation session; Colonel Fletcher new director of Military Science program (photo); License plate tag extension given;","Argonaut Index, November 12, 1968 through May 22, 1969
"
"January 10, 1969",1969-01-10,"Page 1 (front page): Regents change name of college; accept gifts; U Singers, Concert Band appear this Sunday; Sherman F. Carter named as university vice president (photo); Regents appoint Melvin Hirschi; Race relations course to be offered; Europe charter flight application available; Grad Reading Exam given; Idaho State Governor unhappy with criticism by state education board; Samuelson defends budgets at Moscow Chamber banquet; “Keep education moving ahead,” Hartung tells Idaho legislators; Non-resident loans now in operation; Page 2 (opinion): The Governor Does It Again, Again; The End by Chris L. Smith; From Under the Rock by Houghton Whithed; You think our finals are bad?; FOcus The Darn Thing by Bruce Noll; Page 3 (Sports): Animals by Ira Eich, editor (opinion); WRA elections Tues.; Vandals open Big Sky play against Montana; Frosh battle Montana tonight; “A” Basketball [scores]; Bowling [scores]; Varsity ski season opens; Page 4:; Museum display French design (photo); Mid-Year graduates reminded of duties; Calendar; Summer school plans announced for 1969;","Argonaut Index, November 12, 1968 through May 22, 1969
"
"January 31, 1969 - date misprinted on front page as January 10",1969-01-31,"Page 1 (front page): State board budget plan is endorsed; Athletic complex plans released; Enrollment at 5,745; more to register late (photo); Bookstore changes; Lyford speaks February 10; Student referendum on final examinations to be held; International buffet; Soph Keys, Lok Box Held Up Temporarily; Grassroots appear in concert in gym on Valentine’s Day (photo); Page 2 (opinion): Finals Revisions Is Needed; From Under the Rock by Houghton Whithed; A poor man’s college; Price survey inaccurate; Weiskotten continues dialogue on black history; FOcus The Darn Thing by Bruce Noll; Peace, Hiawatha; Glacier Park program presented Thursday [news]; Page 3: Idaho Grad Student studies big horn sheep (photo); Anthropology laboratory given unusual contract; Homecoming interviews for chairmanships soon; Easter Island artifacts to be displayed at museum (photo); Dr. Edward Everding to speak on Sunday; Page 4:; University open golf course bids over break; Senior Job Interviews; Faculty Committee, Matriculation Committee will meet on Tuesday; Alpha Kappa Psi will do study on retail sales; ‘The Shadow’ will be revived on KUID-FM; Page 5: Mt. Rundell – the Vandal Ski Club (photo only); J.R. Simplot Freshman Design award given in engineering; College Bowl starts Tuesday; Williams, acting dean, appointed to council; Program probing poverty to be held Sunday at CCC (photo); Prof learns Ethiopians are not against change; Six University professors participate in convention; Page 6: Idaho steelhead migration studies through devices; Idaho State Police warn of ‘bad attitude’ driving; To Appear – Andrew Kole (photo only); Campus interviews climb toward an all time high; Faculty recital set for Tuesday; NDEA Fellowships total $165,000 for 3 years; University observes Eightieth Birthday; Church feels filibuster rule will be approved; Fashions award fellowships; Page 7 (Sports): Athletic award given to Hendren (photo); Vandals win one, lose one; Thacker fourth in Big Sky; Mat men defeat Gonzaga, 34-5; Banff was cold but great fun (photo on page 8); Idaho sports banquet held last night; Basketball stats; Page 8:; Banff 1969; WSU communication system serves area technicians; Recent snow causes many city problems (photo); Fellowships granted; Music department presents Tyler’s in music program; SUB art stolen while on display; Dr. Boone and Kirtley receive new positions;","Argonaut Index, November 12, 1968 through May 22, 1969
"
"February 4, 1969",1969-02-04,"Page 1 (front page): Referendum held tomorrow on change; Gov. Samuelson initiated by student group; Classes canceled last Friday as severe wind, snow hit campus (photo); Calendar; Development Center approved by Regents; Accidents occur on slick sidewalks; Fall semester grades given out Wednesday; Joseph Lyford lecture slated for next Monday; Accident injures Idaho students; Page 2 (opinion): A unified system; From Under the Rock by Houghton Whithed; Of floors and students; God: Savior or Sadist; Page 3 (Sports): Vandals host Weber this weekend (photos); Dodd appointed football coach; Track meeting to be held; “A” basketball [scores]; “A” basketball final standings; Pool [scores]; Bowling [scores]; Manager’s meeting; New physical fitness classes scheduled; Boosters meet Saturday; Grapplers meet Gonzaga Saturday night; Firm retained to plan track; Girls’ swim team beats WSU 44-31; Page 4: To Build Soon [Theta Chi]; Grass Roots Show similar to “Laugh-In”; Urban problems covered in films; College Bowl “kicks off”; LDS holds dance; Senior Days interviews; Eleven universities participate in conclave; Blue Key to sponsor dance Friday in SUB; Bridge lessons offered; Dialogue development hoped for by Jean Hill; Summer park employment discussed Thursday; CUP caucus held; Faculty forum meets tomorrow; Congratulation [Laurie Gunn, Pi Phi]; Music review: Tyler recital “well prepared”;","Argonaut Index, November 12, 1968 through May 22, 1969
"
"February 7, 1969",1969-02-07,"Page 1 (front page): ID cards to be mandatory for students; Social critic here Mon. (photo); Ruling in suit aids graduates; Farmhouse cook encounters playful pup in early morn; Duncombe appointed director; Twenty-five percent of student body votes on final exam referendum; E-Board completes Scholarship plans; Semester grades bring smiles and tears (photos); Page 2: Idaho apathy wins (opinion); Sidewalk reports? (opinion); Inside the news by Chris L. Smith (opinion); Gough suffers trauma (opinion); A reply to Terry Gough (opinion); Student deplores conditions (opinion); FOcus The Darn Thing by Bruce Noll (opinion); Forty-five attend Zorro premiere; View expressed on religion (opinion); Girls thank Gagon (opinion); Dr. Paul Kaus appointed liaison representative with state agencies; U of I placement service given a top third ranking; Applications available for assistant residents; AWS to elect new officers; Skogland takes first a Banff; Homecoming committee interviews next Tuesday; Boosters meet tomorrow; Page 3: Performance Slated; 2001: challenge in film producing; Well-known poet appears tonight; Calendar; Moonlight bowling begins; Concert; Page 4: World starvation program Sunday (photo); Gem gives photo dates, deadlines; Idaho coeds receive scholarship (photos); Vandaleers to tour Southern Idaho soon; Journalism graduate edits alum magazine; Spanish discussion held; Unique fishery survey conducted (photo); WRA holds recognition tour; Music Review: Balabanis gives impressive recital; IK pins out; Page 5 (Sports): Weber Wildcats (photos only); Sports Opinion by Dave Finkelnburg: Basketball this weekend; “A” basketball [scores]; “A” basketball schedule; Bowling [scores]; IM skiing [scores]; Bowling standings; Handball [scores]; Handball final standings; New IM officers; Hendren receives second award (photo); Page 6: Attend game and dance tonight; Peace Corps visits campus Monday (photo); Blue Key dance tonight; ROTC Promotion (photo only); Miss Young Republican contest now underway;","Argonaut Index, November 12, 1968 through May 22, 1969
"
"February 11, 1969",1969-02-11,"Page 1 (front page): Spring is just around the corner; first robin has arrived; ASUI sponsors summer flight; CUP convention held February 23; Calendar; Reserve seats selling fast for Grassroots concert; Women’s Days; Public Events speaker criticizes mass media; ‘War and Violence’ topic of Borah Symposium; New AWS officers elected next Wednesday by coeds; Page 2 (opinion): I’ll be damned; Scholarships, a mediocre report; To The Editor; Question of the week; The Governor on the ranch; From Under The Rock by Houghton Whithed; Page 3:; Latah County sheriff’s officers respects students; have many duties; Six films to be shown by Events Committee; WRA champs (photo only); ‘Barefoot in The Park’ presented in March; Winner [Forester’s Ball Queen] (photo only); Wildlife society to meet Wed.; Page 4 (Sports): Swimming team beats Gonzaga; Varsity basketball stats; Frosh basketball stats; Vandals beaten twice by Weber last weekend (photo); ACUI games tournament to be held at Pocatello; Swimming box scores; Page 5 (Sports cont.):; Sports Opinion by Dave Finkelnburg: $port$; Dick Curtis [swim meet] (photo only); Vandal Steve Brown [against Weber] (photo only); Idaho women split Saturday doubleheader; Pool [scores]; Eberhardt win Scheutl award; Frosh lose to Cardinals; What’s Up [sports schedule]; William Dodd [new coach] (photo only); Page 6:; AWS Hopefuls (photo only); Vying For Office (photo only); Annual ski retreat open to everyone; Hahn to present recital; Interdisciplinary degree to be added to catalog; International Lounge open Wednesday; Urban problems films scheduled Thursday; Tryin’ To Win (photo only); U of I accepts permanent loan of Whitney rock collection;","Argonaut Index, November 12, 1968 through May 22, 1969
"
"February 14, 1969",1969-02-14,"Page 1 (front page): Jazz festival to be held March 15; Campus religious centers sponsor program series; Report that SCEE obtain Grassroots profits fails Tuesday; Faculty Council passes pre-final dead day; CUP candidates must submit questionnaires February 19; Calendar; AWS officers elected Wednesday; Mary Fallini assumes presidency (photo); Oscar Peterson appears tonight with Grassroots; Six classic films shown this semester; Arnold Air Society Conclave held this weekend on Idaho campus (photo); Page 2 (opinion): Anything Goes, Baby!; A Lesson To Be Learned; Vanity is vain; Ode To A Statue; Student Affairs; FOcus The Darn Thing by Bruce Noll; Page 3: French Production (photo only); Tri Delts offer annual scholarship of $300; KUID presents child abuse show; College bowl holds two tournaments; Prof. lauds growth potential; Step In The Right Direction (photo only); Page 4 (Sports): “A” Basketball [scores]; Bowling [scores]; Lindley Hall 1 is independent champ; Grapplers beat Whitworth 40-2 (photo); Idaho beats Idaho State, ends Big Sky shutout (photo); Annual Navy rifle meet to be held tomorrow; Alpha Phi wins WRA bowling; Page 5 (Sports cont.): Sports Opinion by Dave Finkelnburg; Vandalettes meet; Idaho ski invitational to be held at McCall; Freshman lose again 73-71 (photo); Page 6: Billionth dollar loaned; The Grassroots (photo only); Martin contributing author for text; Flute recital given Tuesday [headline incorrect, article is about Young Americans for Freedom];","Argonaut Index, November 12, 1968 through May 22, 1969
"
"February 18, 1969",1969-02-18,"Page 1 (front page): Flute recital given Tuesday (photo); Deadline today; ‘Les Fourberies de Scapin’ to play Sunday, February 23; Calendar; On Stage (photo only); General elections held March 5; “Citizen Kane” shown Thursday; Physics Department holds open house (photo); Campus Chest Drive underway; 1969 goal set at $4000, to be donated to charity; Challenge; Air Force awards U of W, Central Washington; Urban films shown; Page 2 (opinion): A Responsible Move; Rotten kettle of fish?; The Other Side; Reader faults Argonaut; Will CUP live?; Praise given sun; Dietician troubles student; FOcus The Darn Thing by Bruce Noll; Page 3: Now Open (photo only); Crowd disappoints fan (opinion); Writer desires Argonaut (opinion); Miss Young Republican contest now underway; Sidney Lane speaks at WSU this afternoon; Applications available for residence advisors; Theologue to present discussion on Islam; Timothy M. Nelson and Robert B. Tebbs receive the oath of enlistment (photo only); Church urges more appropriations for expanding vocational schools; War dancing; Page 4: Former U of I student now well-known artist (photo); Development [Theophilus Tower] (photo only); North Idaho beats frosh; Dames club meets; YAF sponsoring speaker; Dr. Philip Crane here today (photo); Sports Opinion by Dave Finkelnburg; Page 5 (Sports): Vandal skiers take fourth at McCall (photo); Girl wins rifle meet; Pool [scores]; “A” Basketball [scores]; What’s up? [schedule]; Swimmers win 2 of 3; Vandals split pair with ISU; Grapplers lose to Montana; Page 6: Winner From H-2 Area (photo only); Tasby to speak at faculty forum; Law school needs books to keep accreditation; U of I will host April Engineering convention;","Argonaut Index, November 12, 1968 through May 22, 1969
"
"February 21, 1969",1969-02-21,"Page 1 (front page): E-Board change in scholarship program; French play here this Sunday (photo); Mock United Nations session held March 2; WSU approves weekend visitation plan; AWS withdrawl made by Forney Wednesday night; New party forms; Page 2 (opinion): Open The Door; Stubborn Like A Mule; A New Museum; Argonaut Election Policy; Student Affairs: Part 11; To The Editor; Events story praised; Next, please; FOcus The Darn Thing by Bruce Noll; Page 3: CUP tells platform; candidates’ views; Page 4:; KUID features film on European economy; New Ag Engineering professor begins work; Admiring a wall clock donated to Vandal Hall (photo only); Council accepts Idaho’s Engineering; National engineers week theme discussed; Vandaleers to tour in March; Professors’ meeting; Page 5: Auditions for Coeur d’Alene summer theatre scheduled in Moscow for first week in April; Faculty Forum meets Wed.; Vote For Me (photo only); Idaho graduate involved with Vietnam peace talks; One To Wear Crown (photo only); Well known artist visits here with paintings; Charter flights; Page 6: E-Board proposes women’s leeway in visiting men’s living groups; YAF speaker calls for change; Christian center hosts program; Hahn concert ‘electrifying’; Dance workshop to draw high school students here; Page 7 (Sports): Sports Opinion by Dave Finklenberg: Vandals are back; Pool [scores]; “B” basketball [scores]; Bowling [scores]; “A” basketball [scores]; Table tennis [scores]; Lindley loses to ATO 45-43 (photo); Grapplers beat Gonzaga 22-13; Idaho women lose 46-27 to WSU women’s team; Ski Club sponsors slalom race Saturday; Game team wins at Idaho State; What’s up [schedule]; Page 8:; Contestants (photo only); Prof. studies cultural change among Indians; Campus Chest tour begin; Russell president of Engineer’s Society; Paintings shown in Vandal Lounge; French prof visits campus;","Argonaut Index, November 12, 1968 through May 22, 1969
"
"February 25, 1969",1969-02-25,"Page 1 (front page); Student Bill Of Rights To Appear On Election Ballot; 11 CUP candidates; 13 others vie for offices; Television debate set by Rocinante; Arts run through March (photo); Utah choir gives concert; MUN Session held March 2; Newman attends art open house; Page 2 (opinion): An Open Conversation; It Should Be ASS; The Student Bill Of Rights, Yes; Theater As It Should Be; Here’s more about Student Bill of Rights; Play pits youth vs. business; SCEE gives facts; Demands placed on band; CUP plays games; Don’t vote; Page 3: University of Idaho faculty members (photo only); Idaho receives grant; Silver opinion competition will offer scholarship; KUOI staff members ready charity marathon; Williams will address Ohio geology seminar; Receives Money (photo only); Next Public Events Film ‘The Lavender Hill Mob’; Two short plays set for tonight; Page 4 (Sports): Intramural Pool Champion (photo only); Swimmers top Highline 56-44 (photo); Sports Opinion by Dave Finkelnburg: Swimmers’ Woes; Spokane boat show; Wrestling championship held at Missoula (photo); Page 5 (Sports cont.): Vandals win over Montana last night; Frosh lose two last weekend; Andrews is IM pool champion; Vandals split two with Montana State; Rifle team wins second; Page 6: Spring Convention [ASUI] (photo only); NSA fights abolition of youth air fares; New Pan Hellenic president installed; Cars needed for caravan; Play tryouts announced; Forums committee to sponsor smoker in SUB on Thursday; Robert Thompson hired as assistant coach; Vandaleers to perform in 11 cities and towns; Drama class formed for young children; Susan Dalby and Diane Konen (photo only); Walton to present tenor recital (photo); Idaho educator serves on accreditation team;","Argonaut Index, November 12, 1968 through May 22, 1969
"
